Mabea fistulifera,1
Malouetia cestroides,1
Maytenus communis,1
Miconia albicans,1
Miconia lepidota,1
Miconia prasina,1
Moquiniastrum polymorphum,1
Myrsine coriacea,1
Psidium myrtoides,1
Rhamnidium elaeocarpum,1
Solanum argenteum,1
Sparattosperma leucanthum,1
Syzygium cumini,1
Tachigali rugosa,1
Tibouchina estrellensis,1
Tibouchina granulosa,1
Toulicia laevigata,1
Vernonanthura discolor,1
Xylopia sericea,1
Acrocomia aculeata,1
Actinostemon verticillatus,1
Agonandra excelsa,1
Albizia pedicellaris,1
Algernonia obovata,1
Anadenanthera colubrina,1
Andira fraxinifolia,1
Andira ormosioides,1
Aparisthmium cordatum,1
Apuleia leiocarpa,1
Artocarpus heterophyllus,1
Astronium graveolens,1
Banara serrata,1
Brosimum guianense,1
Byrsonima japurensis,1
Byrsonima laxiflora,1
Casearia arborea,1
Ceiba speciosa,1
Colubrina glandulosa,1
Cordia superba,1
Cordia trichoclada,1
Coussarea nodosa,1
Cupania emarginata,1
Cupania furfuracea,1
Dalbergia nigra,1
Diatenopteryx sorbifolia,1
Eugenia candolleana,1
Eugenia florida,1
Eugenia punicifolia,1
Eugenia sulcata,1
Guapira areolata,1
Guarea guidonia,1
Guatteria candolleana,1
Guatteria ferruginea,1
Helicostylis tomentosa,1
Himatanthus bracteatus,1
Inga capitata,1
Joannesia princeps,1
Lacistema pubescens,1
Licaria bahiana,1
Machaerium brasiliense,1
Macrotorus utriculatus,1
Matayba juglandifolia,1
Nectandra puberula,1
Ouratea bahiensis,1
Protium heptaphyllum,1
Pseudopiptadenia contorta,1
Psychotria carthagenensis,1
Psychotria leiocarpa,1
Psychotria nuda,1
Psychotria vellosiana,1
Rhodostemonodaphne macrocalyx,1
Rinorea guianensis,1
Senegalia polyphylla,1
Simarouba amara,1
Siparuna bifida,1
Siparuna guianensis,1
Siparuna reginae,1
Sorocea guilleminiana,1
Stryphnodendron pulcherrimum,1
Tabernaemontana catharinensis,1
Tachigali pilgeriana,1
Talisia esculenta,1
Zanthoxylum caribaeum,1
Algernonia leandrii,1
Algernonia riedelii,1
Alseis floribunda,1
Amphirrhox longifolia,1
Andira anthelmia,1
Campomanesia eugenioides,1
Cedrela odorata,1
Copaifera langsdorffii,1
Cordia taguahyensis,1
Couepia schottii,1
Coussarea contracta,1
Coussarea graciliflora,1
Cryptocarya riedeliana,1
Cupania racemosa,1
Cupania schizoneura,1
Cybianthus cuneifolius,1
Dictyoloma vandellianum,1
Ecclinusa ramiflora,1
Endlicheria glomerata,1
Eriotheca pentaphylla,1
Erythroxylum citrifolium,1
Eugenia brevistyla,1
Eugenia expansa,1
Eugenia oblongata,1
Eugenia pisiformis,1
Eugenia umbrosa,1
Eugenia villaenovae,1
Eugenia zuccarinii,1
Faramea multiflora,1
Ficus gomelleira,1
Gallesia integrifolia,1
Guatteria sellowiana,1
Handroanthus chrysotrichus,1
Handroanthus heptaphyllus,1
Jacaratia spinosa,1
Lecythis lanceolata,1
Lecythis pisonis,1
Licania kunthiana,1
Licania octandra,1
Licania riedelii,1
Maytenus brasiliensis,1
Melanoxylon brauna,1
Myrcia anceps,1
Myrcia crocea,1
Myrcia insularis,1
Myrcia spectabilis,1
Naucleopsis oblongifolia,1
Ocotea nitida,1
Parinari excelsa,1
Peltogyne angustiflora,1
Pilocarpus giganteus,1
Piper arboreum,1
Pourouma guianensis,1
Pouteria bangii,1
Pouteria durlandii,1
Pouteria grandiflora,1
Pouteria guianensis,1
Pradosia kuhlmannii,1
Roupala longepetiolata,1
Ruprechtia laxiflora,1
Schefflera longipetiolata,1
Senefeldera verticillata,1
Simira viridiflora,1
Swartzia apetala,1
Tachigali friburgensis,1
Terminalia januariensis,1
Trichilia casaretti,1
Urbanodendron bahiense,1
Virola gardneri,1
Zollernia glabra,1
Leandra purpurascens,1
Miconia doriana,1
Brunfelsia uniflora,1
Solanum cernuum,1
Syagrus romanzoffiana,1
Sebastiania commersoniana,1
Machaerium nictitans,1
Machaerium oblongifolium,1
Psidium cattleyanum,1
Qualea selloi,1
Ilex paraguariensis,1
Didymopanax angustissimum,1
Bactris setosa,1
Tabebuia chrysotricha,1
Maytenus evonymoides,1
Maytenus robusta,1
Sloanea monosperma,1
Erythroxylum argentinum,1
Zollernia ilicifolia,1
Nectandra grandiflora,1
Ocotea bicolor,1
Ocotea brachybotra,1
Miconia petropolitana,1
Mollinedia elegans,1
Eugenia involucrata,1
Eugenia mosenii,1
Gomidesia affinis,1
Gomidesia anacardiaefolia,1
Myrceugenia glaucescens,1
Myrceugenia rufescens,1
Myrcia breviramis,1
Myrcia oblongata,1
Myrcia venulosa,1
Pimenta pseudocaryophyllus,1
Siphoneugena widegreniana,1
Ouratea vaccinioides,1
Roupala brasiliensis,1
Alibertia concolor,1
Chomelia catharinae,1
Posoqueria acutifolia,1
Psychotria longipes,1
Psychotria stachyoides,1
Symplocos celastrinea,1
Symplocos kleinii,1
Symplocos variabilis,1
Daphnopsis fasciculata,1
Centrolobium robustum,1
Holocalyx balansae,1
Machaerium villosum,1
Cariniana legalis,1
Campomanesia guazumifolia,1
Eugenia uniflora,1
Euplassa cantareirae,1
Rudgea sessilis,1
Vismia brasiliensis,1
Christiana macrodon,1
Heliocarpus popayanensis,1
Tibouchina pulchra,1
Solanum caavurana,1
Urera caracasana,1
Dendropanax cuneatus,1
Jacaranda micrantha,1
Cordia trichotoma,1
Erythrina speciosa,1
Erythrina verna,1
Machaerium nyctitans,1
Parapiptadenia rigida,1
Schizolobium parahyba,1
Lafoensia pacari,1
Ficus guaranitica,1
Ficus adhatodifolia,1
Triplaris americana,1
Symplocos falcata,1
Tapirira obtusa,1
Guatteria nigrescens,1
Rollinia silvatica,1
Himatanthus phagedaenicus,1
Peschiera fuchsiaefolia,1
Didymopanax morototoni,1
Zeyheria tuberculosa,1
Eriotheca candolleana,1
Pseudobombax longiflorum,1
Cordia sericicalyx,1
Protium warmingianum,1
Trattinickia ferruginea,1
Erythroxylum pelleterianum,1
Maprounea guianensis,1
Sapium glandulatum,1
Carpotroche brasiliensis,1
Casearia aculeata,1
Vismia guianensis,1
Senna macranthera,1
Miconia albo-rufescens,1
Solanum granuloso-leprosum,1
Solanum leucodendron,1
Casearia gossypiosperma,1
Rheedia gardneriana,1
Tovomita glazioviana,1
Villaresia megaphylla,1
Hyptidendron asperrimum,1
Nectandra reticulata,1
Nectandra rigida,1
Nectandra saligna,1
Ocotea laxa,1
Phyllostemonodaphne geminiflora,1
Machaerium triste,1
Acacia glomerosa,1
Anadenanthera peregrina,1
Inga edulis,1
Stryphnodendron guianense,1
Miconia pusilliflora,1
Siparuna arianeae,1
Ficus mexiae,1
Maclura tinctoria,1
Virola oleifera,1
Eugenia leptoclada,1
Ouratea polygyna,1
Amaioua guianensis,1
Coutarea hexandra,1
Guettarda viburnoides,1
Psychotria sessilis,1
Luehea grandiflora,1
Vitex sellowiana,1
Ocotea pubescens,1
Sclerolobium denudatum,1
Swartzia myrtifolia,1
Platymiscium pubescens,1
Guarea kunthiana,1
Trichilia catigua,1
Trichilia pallida,1
Psidium guajava,1
Prunus sellowii,1
Ladenbergia hexandra,1
Hortia arborea,1
Allophylus sericeus,1
Picramnia glazioviana,1
Annona crassiflora,1
Neoraputia alba,1
Coccoloba alnifolia,1
Couratari asterotricha,1
Basiloxylon brasiliensis,1
Amburana cearensis,1
Trichilia clausseni,1
Astronium concinnum,1
Guazuma crinita,1
Erythroxylum deciduum,1
Peltophorum dubium,1
Platypodium elegans,1
Swartzia acutifolia,1
Ampelocera glabra,1
Ziziphus glaziovii,1
Chrysophyllum gonocarpum,1
Trichilia hirta,1
Cariniana ianeirensis,1
Machaerium incorruptibile,1
Ziziphus joazeiro,1
Senegalia kallunkiae,1
Macrothumia kuhlmannii,1
Tabernaemontana laeta,1
Xylopia laevigata,1
Acosmium lentiscifolium,1
Pachystroma longifolium,1
Chrysophyllum lucentifolium,1
Bunchosia macilenta,1
Guapira noxia,1
Cnidoscolus oligandra,1
Melicoccus oliviformis,1
Machaerium paraguariense,1
Paratecoma peroba,1
Alseis pickelii,1
Poeppigia procera,1
Trichilia pseudostipularis,1
Parapiptadenia pterosperma,1
Erythroxylum pulchrum,1
Balfourodendron riedelianum,1
Barnebydendron riedelii,1
Tabebuia roseoalba,1
Almeidea rubra,1
Manilkara salzmannii,1
Pseudopiptadenia warmingii,1
Astronium fraxinifolium,1
Attalea dubia,1
Jacaranda macrantha,1
Maytenus aquifolium,1
Licania spicata,1
Casearia ulmifolia,1
Nectandra lanceolata,1
Persea pyrifolia,1
Lonchocarpus guilleminianus,1
Myroxylon peruiferum,1
Swartzia elegans,1
Acacia polyphylla,1
Inga striata,1
Trichilia elegans,1
Mollinedia argyrogyna,1
Acanthinophyllum ilicifolium,1
Eugenia stictosepala,1
Myrcia sphaerocarpa,1
Myrciaria axillaris,1
Plinia glomerata,1
Seguieria americana,1
Bathysa nicholsonii,1
Ixora gardneriana,1
Chrysophyllum marginatum,1
Pouteria laurifolia,1
Picramnia regnelli,1
Vitex megapotamica,1
Qualea jundiahy,1
Aspidosperma parvifolium,1
Brosimum gaudichaudii,1
Chorisia speciosa,1
Cordia ecalyculata,1
Croton salutaris,1
Cryptocarya moschata,1
Cyphomandra fragrans,1
Licania hoenei,1
Lonchocarpus muehlbergianus,1
Maytenus aquifolia,1
Maytenus salicifolia,1
Metrodorea pubescens,1
Myrcia rostrata,1
